Artist(s),song,text,Genre,Album,emotion,Energy,Danceability,Positiveness,Acousticness,Instrumentalness,Speechiness,Liveness,Tempo,Loudness (db),Popularity,track_id
Yellowcard,Always Summer,"[Verse 1] I think I have everything I need It got dark, but now I think I see The world around is full of arms still reaching out to me I hear the notes and belt them back to you I feel loved I'm burning like a fuse I'm not afraid Cause I know I've got nothing left to lose  [Chorus] I just want to say I know I let you down, but I'm ready now And I found a way that I can tell the truth, make it up to you  [Verse 2] I know that I have always walked the line In between of confidence and lies So many scenes are full of words I wish I could rewind But here you are forgiving me again You'll never know how real to me you've been This is the start of another empty page where I begin [Chorus] I just want to say I know I let you down, but I'm ready now And I found a way that I can tell the truth, make it up to you  [Hook] I left home but there's one thing I still know It's always summer in my heart and in my soul  [Bridge] I loved you first, I love you still I always will I loved you first, I love you still I always will  [Chorus] I just want to say I know I let you down, but I'm ready now And I found a way that I can tell the truth, make it up to you  [Hook] I left home but there's one thing that I still know It's always summer in my heart and in my soul  It's always summer in my heart and in my soul It's always summer in my heart and in my soul","alternative rock,punk,punk rock",Southern Air,love,99,43,53,0,0,9,24,170,-2.14db,40,722
Death Cab for Cutie,Youve Haunted Me All My Life,[Verse 1] You've haunted me all my life Through endless days and countless nights There was a storm when I was just a kid Stripped the last coat of innocence  [Verse 2] You've haunted me all my life You're always out of reach when I'm in pursuit Long winded then suddenly mute And there's a flaw in my heart's design For I keep trying to make you mine  [Chorus] You've haunted me all my life You've haunted me all my life You are the mistress I can't make a wife And you've haunted me all my life  [Verse 3] And so I wait but I never seem to learn How to capture your diminishing returns I still see you through the eyes of a child Not even thinking we could tame the wild [Chorus] You've haunted me all my life You've haunted me all my life You are the mistress I can't make a wife And you've haunted me all my life You've haunted me all my life You've haunted me all my life You are the mistress I can't make a wife And you've haunted me all my life,"rock,indie rock,indie",Kintsugi,fear,49,61,27,48,2,3,12,91,-10db,37,723
Saint Mesa,Blackest Hand,"[Chorus] I've been all the cold, see me I've been in the world, see me I've been coming short, breathin' I've been killing my demons I'm a second chance, see me I'm a dead romance, see me I'm the blackest hand, beating I'm the biggest man bleeding Ah  [Chorus] I've been all the cold, see me I've been in the world, see me I've been coming short, breathin' I've been killing my demons I'm a second chance, see me I'm the dead romance, see me I'm the blackest hand, beating I'm the biggest man breathing [Bridge] Light my face up Drip down the bluff Crack open the mountain And call out your son Light my face up Drip down the bluff Crack open the mountain And call out your son Light my face up Drip down the bluff Crack open the mountain And call out your son Light my face up (Light my face up) Drip down the bluff (Drip down the bluff) Crack open the mountain And call out your son (Call out your son) The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand The blackest hand [Chorus] I've been all the cold, see me I've been in the world, see me I've been coming short, breathin' I've been killing my demons I'm a second chance, see me I'm a dead romance, see me I'm the blackest hand, beating I'm the biggest man bleeding Ah",hip hop,Nocturne,anger,45,51,13,1,90,3,11,114,-12.23db,26,724
Terrian,Give Me That Joy,"[Verse 1] I'm feeling weak from when I'm waking up Between the left and the right where You taken us Even our dollar bills say in God we trust But somehow that's just not enough But He lit me with that fire You can see it burning in my eye Since He pulled me from the muck and mire That muck and that mire  [Pre-Chorus] God, I'm so tired of the opinions They telling me how I should be living You knew my heart Right from the start My faith is more than just a feeling  [Chorus] So give me that joy when they give me that funk (Hey!) Thеy want me looking down but I keep on looking up (Hey!) They keep on tеlling me I need to give You up (Hey!) I could give it all and it still won't be enough [Post-Chorus] So gimme that joy, joy, joy, joy  (Down in my soul) So gimme that joy, joy, joy, joy (No, I won't let You go)  [Verse 2] Wait a minute, hold up (Hold up) Freedom is free Ever since they nailed hope to a tree How can we can we get over (Over) The sinner in you Pointing-pointing at the sinner in me (Yeah) Me hands down, you gloves up Put hate down, pick love up (Yay) Tryna wash in the blood and get my suds up I got my eyes to the Son before the sun's up Before the sun's up  [Pre-Chorus] God, I'm so tired of the opinions They telling me how I should be living You knew my heart Right from the start My faith is more than just a feeling  [Chorus] So give me that joy when they give me that funk (Hey!) They want me looking down but I keep on looking up (Hey!) They keep on telling me I need to give You up (Hey!) I could give it all and it still won't be enough [Post-Chorus] So gimme that joy, joy, joy, joy  (Down in my soul) So gimme that joy, joy, joy, joy (No, I won't let You go) So gimme that joy, joy, joy, joy  (Yeah, down in my soul) So gimme that joy, joy, joy, joy (No, I won't let You go) Mire Mire Mire  [Bridge] Yeah, He lit me with that fire You can see it burning in my eye Since He pulled me from the muck and mire, yeah Oh, that fire You can see it burning in my eye Since He pulled me from the mire I'll praise You, Adonai  [Outro] So gimme that joy, joy, joy, joy  (Down in my soul) So gimme that joy, joy, joy, joy (No, I won't let You go) So gimme that joy, joy, joy, joy  (Yeah, down in my soul) So gimme that joy, joy, joy, joy (No, I won't let You go)",hip hop,Genesis of Terrian,sadness,63,67,67,7,0,11,18,90,-6.76db,44,725
"Big Sean,J. Cole",24k of Gold,"[Intro: Big Sean] Yeah, G.O.O.D  [Chorus: Big Sean & Jhené Aiko] Wishing I could wrap my whole life up in 24 karats of gold Lately, I've been dreaming 'bout diamonds and pearls Yup, diamonds and pearls And enough money I could rule the world If I ruled the world, yeah, if I ruled the world If I ruled the world man, it got me thinking man if I ruled the world If I ruled the world, if I ruled the world I could rule the world man, if I ruled the world  [Verse 1: Big Sean] If I ruled the world, I would buy it all I'm addicted to champagne and buying the mall I'm addicted to living life above the law How much do it take to live above the law? I call my homie Ralph up, cause his car stop Told him bump a new car, come grab the car lot That way you can have convertibles, and a hardtop Open up a few doors, since we had a hard knock, life Like, open up Where restaurants and legs stay opened up Start a franchise so my dawg can quit wearing A .44 up on his waist like it's his pants size And to my OG locked up bumping ""Ready or Not"" Who was just trying to do it big, but wasn't ready to die Cop a first class whatever he like, with hoes already inside Now he can rest in peace while he alive Fuckin' right [Chorus: Big Sean & Jhené Aiko] Wishing I could wrap my whole life up in 24 karats of gold Lately, I've been dreaming 'bout diamonds and pearls Yup, diamonds and pearls And enough money I could rule the world If I ruled the world, yeah, if I ruled the world If I ruled the world man, it got me thinking man if I ruled the world If I ruled the world, if I ruled the world I could rule the world man, if I ruled the world  [Verse 2: Big Sean] Seems life's never at a standstill, even in a photo Thinking about the ex-girl, I hoed though Like would we have won it all, or would I have lost it all like Ocho The things I think about the most are things I never know though Like, why don't schools teach more mathematics? Less trigonometry and more about taxes? They at the chalkboard, teaching us ass backwards How about preparing us for life instead of lab rat us? With a mansion that's about five floors No more sleeping on the couches, cause we got five more With the fam that reminded me what I'm alive for And at the same time remind me what I'd die for A world where you wouldn't need sleep That way we could catch up instead of chase dreams And finally get the speedboat my dad always wanted Mm, I swear I feel it coming [Chorus: Big Sean & Jhené Aiko, J. Cole] Wishing I could wrap my whole life up in 24 karats of gold Lately, I've been dreaming 'bout diamonds and pearls Yup, diamonds and pearls And enough money I could rule the world (Cole World) If I ruled the world, yeah, if I ruled the world (Cole) If I ruled the world man, it got me thinking man if I ruled the world If I ruled the world, if I ruled the world I could rule the world man, if I ruled the world (Cole World)  [Verse 3: J. Cole] Is this a dream? Well that's how it feel Sometimes I got to pinch a fat ass to see if it's real I specifically remember, no heat in the winter Now I supply heat for the winter Then I skate to the beach for the winter When it comes to chips boy, nigga get a grip No cleats I'm a winner Show love to the hoes and the freaks I remember Hit the club and raise hell all week for the sinners Meet a young Dennis, the menace to society Check my sobriety, fuck hoes in varieties Shame that these things is the reasons you admire me But, I'm getting dough man, these flows gon' retire me Splurging all crazy Switching lanes in the Range swerving all crazy (Swerve) Style on Nadal, I've been serving y'all lately, cheddar on Federer Ball till I fall, et cetera, et cetera [Chorus: Big Sean & Jhené Aiko] Wishing I could wrap my whole life up in 24 karats of gold Lately, I've been dreaming 'bout diamonds and pearls Yup, diamonds and pearls And enough money I could rule the world If I ruled the world, yeah, if I ruled the world If I ruled the world man, it got me thinking man if I ruled the world If I ruled the world, if I ruled the world I could rule the world man, if I ruled the world",hip hop,Detroit,joy,87,65,59,14,0,27,11,92,-5.57db,38,726
MJG,Keep Your Mind,I can't get caught with the dirt that's in the air The bitches in my hair Or those niggas over there I sware commnication skills being best So I don't wear no armor on my chest God bless my soul Having to get a 100 yrs. old Stable mind fool body control good as gold Sippin' Hen' Yeah I'm sippin' Hen' what you thought That shit will get sold that sh!t wiill get bought I thought That real niggas understood the hustle But yet you wanta get paid Out and in between the struggle My mother My friend to the got damn end Cause sometime your kin Will do your ass in My friend my foe my woman my ho If the shoe fit yo toe Just as long as you know who you be Look here cause I know who I be I be the coolest ass nigga bout as far as You can see MJG Guaranteed out rump spanker Cognac dranker deep thought thanker Painter picture for your ears as you listen It's bout time for you to peep What you been you goota Keep your mind be strong You can't be to impatient The government is hatin Them sticker boards is waitn by your ride You tired of the way that life is treating you Your personal life is f*cked up Your baby momma beeping you (2x)  I got hang up let downs bad breaks set backs Chart took my check back Hopin I'm a sweat that Less that Other finacial helps come through I'm a countinue doin' what I do stand true Within my heart I had it plan from the start Playin the cart just only trying to do my part All I can say is that the LORD must of bless me Cause comin up I know that the streets did test me From 16 yrs. old we flowed And blewed joes with Niggas who were cold But old and know Moses I had to make my own path through my math Understand that I had to be sad before I'm glad See life play tricks on your mind You got to fight it Or else you just a bumb waitng to get egnighted I write it But also I live it and I'm a get it Straight to the ass and make sure my people Feel it Chorus  Who said making money easy Sho nuff if it's illegal I'm trying to roll a got damn Benz Up out this regal The season keep passing my Stuck in the cold No transportation to role My clothes is old The devil is trying to make me believe That I need What the next man got in order for me to achieve yes indeed Close your grip or else fall Cause the only one catching you ass Gone be the walls See time never waits for one who sits still But some take they hole damn life to get real I chill Do my own damn thing Fuck a buster A ho can only get on my nerves if I trust her Now could I get pay for flattery hell naw Consider when you stuck me but really I stuck Yall applause give me some dap I bust raps But you not intouch with yourself you gone snap Chorus till he starts talkin,hip hop,No More Glory,joy,82,86,44,3,0,34,10,94,-4.26db,13,727
AC/DC,Who Made Who,"[Verse 1] The video games say, ""Play me"" Face it on a level, but it take you every time on a one-on-one Feelin' running down your spine Nothin' gonna save your one last dime 'cause it own you Through and through The databank know my number Says I got to pay 'cause I made the grade last year Feel it when I turn the screw Kick you 'round the world There ain’t a thing that it can't do Do to you, yeah  [Chorus] Who made who, who made you? Who made who, ain’t nobody told you? Who made who, who made you? If you made them and they made you Who picked up the bill and who made who? Who made who, who turned the screw? [Solo]  [Verse 2] Satellites send me picture Get it in the aisle Take it to the wall Spinnin' like a dynamo Feel it goin' round and round Running outta chips, you got no line in an 8-bit town So don't look down, no  [Chorus] Who made who, who made you? Who made who, ain’t nobody told you? Who made who, who made you? If you made them and they made you Who picked up the bill and who made who? Ain't nobody told you?  Who made who? Who made you? Who made who? And who made who? Yeah Nobody told you?","rock,heavy metal,metal",Who Made Who,joy,82,51,66,0,29,5,61,125,-5.14db,68,728
Bearded Legend,PHOENIX,"Verse 1: From the ashes I rise A brand new guy with a brand new life Fucking shit up leave a slut hypnotized Ascended from hell then I fell from the sky Motherfucker be on that cult shit Yo bitch, imma teach the new dogs all the old tricks Focus on ya man and my motives Legendary fly motherfucker so fye like I’m Moltres No discussions, you chickens are clucking I’m fucking up all of you hoes Ya boy is annoyed and I’m outta control The jump I be bumping just wait till I blow I go like I’m big time I’m a gold mine, paying no mind to you bitches, quit crying You a mismatch for the big cats Better get back Before your fucking face catch a break like a Kit Kat  Hook: RISE UPPPPPPP RISE UPPPPPPP RISE UPPPPPPP RISE UPPPPPPP (x2) Verse 2: This the Flight of the Phoenix Comfortably numb where I’m from and I roll with extremists This guy got a free mind Wings spread overhead, make my bed in the tree line Y’all fuckers cannot reach my level Bass and the treble Flame as the devil Melting the metal Boil the kettle Style so wild I be looking disheveled I crush fucks like I pump dust Dumb fucks end up in the trunk of a dump truck Put your dick in the dirt Immerse you with worms as I’m churning the earth Haters disperse Making this work Burning shit down like I’m working with Clerks Bitch do not fuck with the fiery bird No second chances for man cuz they’re damned No rebirth  Hook: RISE UPPPPPPP RISE UPPPPPPP RISE UPPPPPPP RISE UPPPPPPP (x4)",hip hop,PHOENIX,sadness,48,77,38,0,91,5,11,120,-6.12db,11,729
Gerry Cinnamon,Fickle McSelfish,"[VERSE 1]  She wakes up in the morning ignoring the pain in her heart But it’s only illusions that distance would keep us apart She put up with my bullshit no matter how she feels inside And I know that a beauty like her ain’t so easy to find  [Chorus]  But I’m so fickle I’ll be damned that I’m not in love I’m so selfish Did I waste my time on other stuff? And I’m so sleepy I’ve been awake for a couple of days I’m so lonely Won’t you come and take my blues away And if you wanna you can even stay, hey, hey, hey  [VERSE 2] I can tell my the tracks on your face that you had been crying I said the way you’re reacting you’d think that somebody was dying Then you pulled on my hair and bit on my lip till it bled Fuck the notion of living without you I’d rather be dead  [Chorus]  But I’m so fickle I’ll be damned that I’m not in love I’m so selfish Did I waste my time on other stuff? And I’m so sleepy I’ve been awake for a couple of days I’m so lonely Won’t you come and take my blues away And if you wanna you can even stay, hey, hey, hey",hip hop,Kampfire Vampire,anger,44,51,83,80,0,4,10,72,-8.28db,51,730
Jessica Pratt,Night Faces,"[Verse] Some days are long and Summer days are hard I was dragging my feet across the parking lot I remember sad faces in the mirror behind me And I saw those blank places in the driver's seat You know I spent a million tears Trying to dig myself out all these years And I had a hard time to get me down  [Pre-Chorus] No, I call you Delaney 'Cause the tears you rain down And you call me lady when the chips are down  [Chorus] And you say, ""Cry no tears"" I hear you sayin' ""Cry no tears"" is the refrain ""Cry no tears"" again [Verse] Some days are long and Summer days are hard I was dragging my feet across the parking lot I remember sad faces in the mirror behind me And I saw those blank laces in the drivers seat You know I spent a million tears Trying to get myself out all these years And I had a hard time to get me down  [Pre-Chorus] You know I call you Delaney 'Cause your tears that you rain down And you call me lady when the chips are down  [Chorus] And you say, ""Cry no tears"" I hear you sayin' ""Cry no tears"" is the refrain ""Cry no tears"" again Again, mmm, again ""Cry no tears,"" they say ""Cry no tears"" is the refrain ""Cry no tears"" again",folk,Jessica Pratt,sadness,28,53,22,96,18,3,10,118,-12.42db,30,731
"Lecrae,Wande,1K Phew,Hulvey",Restored,"[Intro: Lecrae] It's like It's like the Devil tryna scare you But then the angels come in, and the angels They let you know who's in charge (Oh-oh, oh-oh, oh-oh, oh-oh-oh) (Oh-oh, oh-oh, oh-oh, oh-oh-oh)  [Verse 1: Lecrae & Hulvey] I tried living apart from God At times I was feeling so far from God My faith in His people done left me scarred The hatred and hurt was so bizarre I thought that they would always ride for me I cried, but nobody replied to me I questioned the truth inside of me And right about then is when the Devil had lied to mе Like, hold up, God got you? He don't evеr show up All His people acting like they know you Tell you that you do it for the money, fame, power, tryna blow up Why you playin' games? Time to grow up You've been reading Bibles and leading studies and helping your little buddies But tell me what it's really doin' for ya They gon' still tell you're fake and phony, assuming your every motive So what's the point of tryna keep it loyal? Said you had fake faith, you're starting to race bait Can't even take dates, you hoping to save faith Tryna to go mainstream in order to reach folk Ain't nobody rockin' with you, especially these folks I lost it while I'm drinking liquor in my closet I used to pray in here, but now I'm saucy I'm losing money, I'm a lost prophet I'm making bad decisions every time I get exhausted Lord, I don't even really know the real me now (Now) Demons got me trippin', tryna kill me now (Now) Sittin' tryna figure who can help me get delivered Send an angel in a Uber, come and heal me now Evil, you ain't got no control of me I'm never too far from the Blood that flow for me I lost a lot, but got too much to gain, I'll probably never be the same But I ain't worried 'cause I know He restoring me (Ayy) [Verse 2: Hulvey & Wande] I done suffered through the storm, no cap Uh, yeah, I signed a deal, but I ain't really gettin' racks Could've fell up in the pit or lost my track Uh, switched up the flow like He switched up my past Everything different when I hit the glass Looked at the 'Gram more than I looked to fast Stuck in my head, I don't know where I'm at All of that fame don't last Can You restore me? You gotta quote this recording I never doubted my life had a story My testimony, yeah, ""E.T. phone home"" me I see new dimensions like I'm Rick and Morty Uh, no pun intended, He callin' I ain't lookin' back, I'm all in (Ayy) I put my heart in the offering (Yeah) And the whole church say, ""Amen""  [Verse 3: Wande] Been at the bottom, but God told me flip my perspective It's all in perception 'Cause every time that I feel low, He gon' step in (Yeah) Make sure when you runnin', you got some direction The Devil, he plottin', I see the deception But haven't you noticed when we at our lowest That's when I pray your life be havin' some focus? Ooh When I'm winnin', am I choosin' You? If you missin', everyone'll lose Here lies the body of someone who bodied the verses Reversing the generation of the curses (Ayy) 'Cause G-O-D is the One we puttin' first Took my passion, put it in a hearse At my moments when I feel my worst I know God restoring, though it hurts Oh, can't reverse, no (Ayy) An alert soul, let the church go [Bridge] (Oh-oh, oh-oh, oh-oh, oh-oh-oh) (Oh-oh, oh-oh, oh-oh)  [Verse 4: 1K Phew] Mmm, yeah, I've been up five days 'Cause I'm tired of strugglin' on Fridays, yeah (Tired) Lord, I want me a Hellcat But You know I might speed on the highway, yeah (Lord, I really want one) And I met me some hellcats that be talkin' so bad on they partner (They hate) Never met 'em, but say they my partner (My partner) With the real ones, ain't none of them problems (Oh, no) So I left all that cap at the altar Got to make it back home to my daughters, yeah I'm so sick of these cryin' men They just want me to play 'em a violin (Why you cryin'?) That's why I never said nothin' When they tried to come for us on top ten, yeah Now they say that I'm top ten (Huh?) They must not know I'm top five (Let's go) In the gym, I hang on the rim (I hang) Otto Rocket, stop playing with him (Stop playing) Nah, for real, I'm standing beside that (I stand) I'm so real, so sorry, can't hide that (I can't) How come you won't just tell us what happened? (What happened?) From the street with a passion Maybe that's why they won't let me in Passion But I thought it would change with a record deal and when I start believin' Had a winnin' season for a certain reason So I signed to Reach and then I started speakin' 'Til the realest people got behind me (The realest) Fightin' demons for the real meaning Got the teriyaki and the Polynesian This is my city, better sign in Got a gang of souls who wanna chime in (1K) Never scared, but we God-fearin' They can't tell us nothin', boy, we God's children (God's children) Honda Civic, I know God's steerin' In a Lamborghini, I know guys starin', yeah, yeah, yeah (If so) Then He pioneerin', yeah, yeah, yeah (If so) And we feel merry, yeah, yeah, yeah (Ayy) Get a load of me, yeah, yeah (Get a load) Just talked to 'Crae, he said, ""Hold on, 'cause the top finally here"" ('Crae) I told him, ""Good, 'cause I ain't goin' back to flyin' no Frontier"" Hundred percent to below zero, world givin' me chills, oh Had to go back and restore my whole life, folks ain't real, oh, ayy [Outro: Lecrae] We're all on the journey of being restored And that's the choice that we make Do you want that process? Do you wanna engage? Or do you wanna sit in, you know, in dysfunction? You know what I'm sayin'? Do we wanna sit rusted? Or do we wanna join in on this process of being restored?",hip hop,Restoration: The Deluxe Album,fear,80,67,38,10,0,13,30,130,-4.54db,52,732
Elzhi,Halftime,"[Intro] Check me out y'all It's Elzhi in your area Bout to back slap and bury ya  [Verse 1: Elzhi] Check, now let me show you how I blaze it Leave niggas in amazement on ways spit Shit trickier than a maze get Everything I drop raw cut you like a chop saw You should stop, like when a cop draw before he drop y'all You get your fort crushed actin out of sorts You don't support us, you must snort dust ridin' the short bus Cause I'm an animal, scratch that I'm the manual Pull out, swingin' the metal like mechanical Movement, soon as the groove hits I prove that you need improvements Since I'm so smooth with whatever I maneuve' with And I ain't braggin' player you get your spot got What I jot is hotter than the dragon's lair It's only right you should show me light Because the flow be tight, I wouldn't slip on a snowy night I vex, now who should I bomb next New schooler or an old timer like a timex Simple minded with a complex My glare disrupt the cameras I keep promoters scratchin' their name out and tearin' up they banners When I write cigars flare again The bars buried in the song is bout as strong as barbarians Far scarier than the Omen Chicks give me dome in my home while I'm sittin' spittin' poems watchin' Conan This for my real heads and paragraph addicts I kill the air time impairin' the asthmatic It's like that, you know it's like that I'm who you internet haters want to strike at Don't make me show up to your porch with a spiked bat And leave your front and rear tires on your bike flat Defeat and kill, delete your skill you think you sweet until I cut you off and leave you in the cold like you haven't paid your heating bill Fuck your squad and your street appeal Eat a dilznick clique fleet until my kicks is in your leader's grill For real [Hook] It's Halftime It's Halftime It's Halftime It's Halftime",hip hop,Elmatic,joy,86,67,38,2,0,24,10,92,-5.87db,24,733
Salmonella Dub,Grow Up To Be You,"[Verse 1] I don't want you growing up to be me Giving everything to chase my dreams You don't have to worry yet I can hold you close When she throws away your teenage heart When you passed the test but crashed the car Big boys ought to cry sometimes It's okay if you do  [Pre-Chorus] If you need me, I'm here Just gonna love you the best that I can And if you call me 4 AM I'll be there, I'll be right there  [Chorus] So go and take this world apart 'Cause I know you'll do it with your mama's heart And all I that I ask is don't grow up to be me Grow up to be you [Verse 2] I'll know that I'll catch you stealing liquor from me Cause I remember doing the same at 16 Wake you on the bathroom floor Make sure you're alright  [Pre-Chorus] 'Cause when you need me, I'm here When you get in trouble I'll steer you clear And when you call me for a lift home I'll be there, I'll be right there  [Chorus] So go and take this world apart 'Cause I know you'll do it with your mama's heart And all I that I ask is don't grow up to be me Grow up to be you If you get lost among the stars Don't forget you've always got your mama's heart And I don't wanna push you Whatever you do, grow up to be you  [Bridge] Now there's a reason and a rhyme for most things But you should try to find your own in everything And take your time, there's no rush to grow up [Chorus] So go and take this world apart 'Cause I know you'll do it with your mama's heart And all I that I ask is don't grow up to be me Grow up to be you If you get lost among the stars Don't forget you've always got your mama's heart And I don't wanna push you Whatever you do, grow up to be you No, I don't want to push you Whatever you do, grow up to be you",drum and bass,Slide (Radio Cut),joy,70,76,93,1,45,4,29,123,-8.08db,39,734
"Cunninlynguists,Tripp Doogan",Break Even,"[Verse 1: Natti] Arrives alive, feet first, momma's little burden Who grows to lust lavish living like daddy's little version But the cops pop Pops on his grind from poor to riches So a shackled man stands to name his first son Richard  [Tripp Doogan] Young, [not] realizing why, but he despises his daddy's lies His sister, Karma, look just like his momma with daddy's eyes He sit in apartment looking out the window with daddy's ride His childhood passing by; he's growing too fast to cry  [Natti] Too old to be told stories of knights in shining armor That big sis, Destiny, recited nightly to him and Karma Opposite bedtime, heard street tales of Papa's fed time Rolling stone with skull and bones tatted across his neckline  [Tripp Doogan] He learned to throw rags and load mags before he could read His momma spending her rent on Boy when there ain't nothing to eat Tracking her arm up and turning cheap tricks for bumps And he been checking the same empty refrigerator for months [Hook] Fast forward in time (We are) searching for reason (But we know) ain't no way to rewind So we spend that time just trying to break even  [Verse 2: Natti] Watching momma's body wither and hunger pains in his sister From a teen to a king he stuck up his momma's mister No more peddling poison for profit off in this household Took Papa's strap and tap momma's dealer until he was out cold  [Tripp Doogan] Whatever it takes, he does it dedicated to his sister and mother Learning the game by bagging zips with his cousin Keeping the fridge full now, well he got dollars by the fistful A car with a system and a yard full of pit-bulls  [Natti] King Rich the rich king who's ride sits on things And those who owe dough feel blows with gold rings And momma raise Karma with Destiny right on her arm In a project palace founded by violence, but far from harm  [Tripp Doogan] Ignoring his daddy's letters, but his sisters anticipate The visitation day, but he's just focused on getting paid He barely ever home, growing up alone He had to rehabilitate his mom, keep his sisters from whoring [Hook]  [Verse 3: Natti] Now Rich is feeling himself, not concealing his wealth And his cousin's loving his product and improvidence felt He's crying for help, but Rich told him tighten his belt And then Rich ditched his cousin, put his life on the shelf  [Tripp Doogan] He went from hustling to feed those in need to greed And neglecting his cousin's progress, police is pleased Cause he helping to crucify Rich with times and dates Names and states on license plates of cars supplying the weight  [Natti] So Rich got his niggas out pitching on the curbs While his cousin with the law, jaw singing like the birds Said if he take the stand they plan to send him to the burb So he pitched Rich to the Dixon, sent them to the birds  [Tripp Doogan] Cased him, replaced his bracelet with cuffs and chains A fucking chain he flushed so much he plugged the drain Leaving his sisters and his mother with nothing but more problems And his new cell mate is his 50 year old father [Hook]",hip hop,Sloppy Seconds Volume Two,joy,77,57,68,36,0,8,17,95,-7.02db,9,735
The Cramps,The Crusher,"Rape!  [Verse 1] Do the hammer lock Do the hammer lock Do the hammer lock, you turkey necks Do the hammer lock Do the hammer lock, you turkey necks Everybody's doing it  [Verse 2] Do the eye gouge Do the eye gouge Now do the eye gouge, you turkey necks Now do the eye gouge Do the eye gouge you, turkey necks Everybody's doing it  [Bridge] All right, you turkey necks I wanna teach you how to do the Crusher And if you don't learn it now I'm gonna get ya in the ring Now first you take your fist And you put it on your waist Then you squeeze your partner's head Until she's blue in the face  [Verse 3] Yeah, do the crusher Do the crusher Do the crusher, you turkey necks Do the crusher Do the crusher, you turkey necks Everybody's doing it","punk,punk rock,garage rock",Psychedelic Jungle,anger,94,45,56,1,71,4,35,148,-9db,39,736
The Electric Swing Circus,Everybody Wants To Be A Cat,"Everybody wants to be a cat Because a cat's the only cat who knows where it's at Everybody's pickin' up on that feline beat 'Cause everything else is obsolete  Well, a square with a horn Makes you wish you weren't born Every time he plays But with a square in the act You can set music back To the caveman days (Put your bombast, yeah ye)  Heard some corny birds trying to sing But a cat's the only cat who knows how to swing Who knows where it's at When playing jazz he always has a well command 'Cause everybody needs a swinging cat  Well, a square with a horn Makes you wish you weren't born Every time he plays But a square in the act You can set music back to the caveman days (Put your bombast, yeah ye) Everybody wants to be a cat Because a cat's the only cat who knows where it's at When playing jazz he always has a well command 'Cause everybody digs a swinging cat  [Instrumental]  Everybody, everybody wants to be a cat Everybody, everybody wants to be a cat Everybody, everybody wants to be a cat Everybody, everybody wants to be a cat Everybody, everybody wants to be a cat Everybody, everybody wants to be a cat Everybody, everybody wants to be a cat Everybody, everybody wants to be a cat Everybody, everybody wants to be a cat",swing,The Electric Swing Circus,sadness,63,48,17,6,0,6,22,130,-9db,37,737
Tim Minchin,Some People Have It Worse,"Well I wake up in the morning At 11:47 And I can't believe I have to face The horror of another fucking day  And the magnificent magnitude Of my morning erection Merely mocks me like the sun In its optimistic greeting of the day  Managing to manifest A modicum of motivation I meander to the kitchen Make a mission out of mixing Nescafé  But the milk is going off And coffee by itself is bitter And there's ants all through the sugar And the supermarket's miles-a-fucking-way  My life is pretty sad But I know that I should be glad I could be a starving Ethiope Or a policeman in Baghdad At 11:53 I instigate the day's ablutions In the hope my constitution Can be altered by some action on the bowl  But the total non-existence Of colonic animation Seems to me the perfect metaphor For the utter constipation of my soul  By 11:59 I have decided that my life Would be Immediately improved By a carefully written list of short-term goals  But by 12:05 my list consists of One dot: put some pants on Two dot: go to the shop Buy some prunes and Panadol  My life is pretty shit But I know I shouldn't whinge about it I could be a Palestinian Driving buses on the Gaza Strip  Yeah, how bad can it be? Some people have it worse than me I could be a Ipswich prostitute Or Gary Glitter's family I have no right to cry Some people have it worse than I I could be a thalidomide kid With something in my eye  At 12:30 I realise I'm feeling so dejected That I've totally neglected The beginning of the Jerry Springer show  So I settle on the sofa Try to focus an iota Of my motor neurons on the Brilliant insights for which Jerry is known  And although on any other day A show entitled 'Midgets Midgets Midgets!' Would excite me like a virgin At her year eleven ball  Today those little jelly-wresting Fellows fail to free me of my Misery, instead they simply Serve to make me feel three foot tall  But how bad can it be? Some people have it worse than me I could be a junior lifesaver On a Banda Aceh beach Or a woman in the Taliban Or a Jew in the Ku Klux Klan Or the architect of the World Trade Centre Or a morturist in Mianyang  I could have my identity mistaken As a bomber in an underground station I could be a peace-loving speech writer In George W's administration  Yeah I know that I don't have the right To be unhappy with my life I could be Hitler's mother Or Shane Warne's wife  And you know that I shouldn't be bitching I could be in a worse position I could be a 3-nippled naturopath In the days of the Spanish inquisition  I know I have no right to cry Some people have it much much worse than I I could have a serious nut allergy And be shipwrecked on an island With a crate of Snickers bars A jar of Nutella and a fresh baked pecan pie Some people have it worse than I",comedy,So Fucking Rock (Live),sadness,75,49,74,75,0,18,83,102,-6.57db,25,738
